sample_id,gamma_x,gamma_y,gamma_mag,v,r,f,a,S,b_0,beta_S,s_S,W,L_magnitude
88,-1.5,2.0,2.5,0.9,0.3,0.5,0.5,40,0.8,2.6901652556447733,23.69048036206709,30.87553942866153,77.18884857165382
88,-0.3,0.3,0.4242640687119285,0.9,0.3,0.5,0.5,40,0.8,2.6901652556447733,23.69048036206709,30.87553942866153,13.099381981679514
89,-1.5,2.0,2.5,0.9,0.1,0.9,0.1,20,0.2,0.7471086314479629,3.6437419914982194,0.33311039728061864,0.8327759932015466
89,-0.3,0.3,0.4242640687119285,0.9,0.1,0.9,0.1,20,0.2,0.7471086314479629,3.6437419914982194,0.33311039728061864,0.1413267724805222
90,-1.5,2.0,2.5,0.3,0.9,0.5,0.1,5,0.0,0.5405726970281466,6.438923585480415,0.20178187671845563,0.5044546917961391
90,-0.3,0.3,0.4242640687119285,0.3,0.9,0.5,0.1,5,0.0,0.5405726970281466,6.438923585480415,0.20178187671845563,0.08560880000890074
91,-1.5,2.0,2.5,0.5,0.9,0.1,0.3,20,0.0,0.34225850384034096,5.986390411277153,0.2096457833118329,0.5241144582795823
91,-0.3,0.3,0.4242640687119285,0.5,0.9,0.1,0.3,20,0.0,0.34225850384034096,5.986390411277153,0.2096457833118329,0.08894517301617755
92,-1.5,2.0,2.5,0.7,0.3,0.7,0.3,40,0.2,0.31834160144529894,4.262184721720104,1.184840410534145,2.9621010263353624
92,-0.3,0.3,0.4242640687119285,0.7,0.3,0.7,0.3,40,0.2,0.31834160144529894,4.262184721720104,1.184840410534145,0.5026852133475281
93,-1.5,2.0,2.5,0.5,0.5,0.7,0.9,5,0.2,0.4770733353965627,4.9858191625204125,12.25979530678472,30.649488266961804
